id,customer_id,begin_date,end_date,type,paperless_billing,payment_method,monthly_charges,total_charges,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,gender,senior_citizen,partner,dependents,multiple_lines,target
114,5256-SKJGO,2014-10-01,,Two year,Yes,Electronic check,54.6,3423.5,DSL,No,Yes,No,Yes,Yes,Yes,Female,0,Yes,Yes,No,0
115,3071-VBYPO,2019-11-01,,Month-to-month,No,Electronic check,89.85,248.4,Fiber optic,Yes,Yes,No,No,Yes,No,Male,0,Yes,Yes,No,0
116,9560-BBZXK,2017-02-01,,Two year,No,Bank transfer (automatic),31.05,1126.35,DSL,Yes,No,No,No,No,No,Female,0,No,No,No,0
117,5299-RULOA,2019-02-01,2019-12-01,Month-to-month,Yes,Electronic check,100.25,1064.65,Fiber optic,Yes,No,No,No,Yes,Yes,Female,0,Yes,Yes,Yes,1
118,8402-OOOHJ,2016-09-01,,Two year,No,Mailed check,20.65,835.15,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,0
119,9445-ZUEQE,2017-11-01,,Month-to-month,Yes,Credit card (automatic),85.2,2151.6,Fiber optic,No,Yes,No,Yes,No,No,Male,0,Yes,Yes,Yes,0
120,1091-SOZGA,2015-06-01,,One year,Yes,Credit card (automatic),99.8,5515.45,Fiber optic,No,No,Yes,No,Yes,Yes,Female,0,Yes,Yes,Yes,0
121,2928-HLDBA,2019-08-01,,Month-to-month,No,Mailed check,20.7,112.75,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,0
122,0404-SWRVG,2019-09-01,2019-12-01,Month-to-month,Yes,Electronic check,74.4,229.55,Fiber optic,No,No,No,No,No,No,Male,0,No,No,Yes,1
123,6497-TILVL,2019-07-01,,Month-to-month,No,Mailed check,50.7,350.35,DSL,Yes,No,No,No,No,No,Female,0,Yes,Yes,No,0
124,7219-TLZHO,2019-10-01,,Month-to-month,No,Mailed check,20.85,62.9,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,0
125,4622-YNKIJ,2017-05-01,,Two year,Yes,Electronic check,88.95,3027.65,Fiber optic,Yes,No,No,Yes,Yes,No,Male,0,No,No,No,0
126,4412-YLTKF,2017-10-01,2020-01-01,Month-to-month,Yes,Electronic check,78.05,2135.5,Fiber optic,No,No,Yes,No,No,No,Female,1,No,No,Yes,1
127,6734-PSBAW,2014-02-01,,Two year,Yes,Bank transfer (automatic),23.55,1723.95,Fiber optic,No,No,No,No,No,No,Male,0,Yes,No,Yes,0
128,3930-ZGWVE,2020-01-01,,Month-to-month,No,Mailed check,19.75,19.75,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,0
129,2639-UGMAZ,2014-03-01,,One year,Yes,Electronic check,56.45,3985.35,DSL,Yes,Yes,No,No,Yes,Yes,Male,1,No,No,No,0
130,2876-GZYZC,2019-01-01,,Month-to-month,Yes,Electronic check,85.95,1215.65,Fiber optic,No,No,No,No,No,Yes,Female,0,No,No,Yes,0
131,6207-WIOLX,2017-12-01,2020-01-01,Month-to-month,Yes,Credit card (automatic),58.6,1502.65,DSL,Yes,Yes,Yes,No,Yes,Yes,Female,0,Yes,Yes,No,1
132,8587-XYZSF,2014-07-01,,Two year,No,Bank transfer (automatic),50.55,3260.1,DSL,No,No,No,Yes,No,No,Male,0,No,No,No,0
133,3091-FYHKI,2019-12-01,2020-01-01,Month-to-month,Yes,Electronic check,35.45,35.45,DSL,No,No,No,No,No,Yes,Male,0,No,No,No,1
134,2372-HWUHI,2019-11-01,2020-01-01,Month-to-month,No,Electronic check,44.35,81.25,DSL,No,No,No,No,No,No,Male,0,No,No,No,1
135,7799-LGRDP,2016-07-01,,Two year,Yes,Credit card (automatic),25.7,1188.2,Fiber optic,No,No,No,No,No,No,Female,0,No,No,Yes,0
136,7850-VWJUU,2018-03-01,,Month-to-month,Yes,Bank transfer (automatic),75.0,1778.5,Fiber optic,Yes,No,No,No,No,No,Female,0,No,No,No,0
137,3774-VBNXY,2014-10-01,,Two year,No,Mailed check,20.2,1277.75,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,0
138,6217-KDYWC,2015-05-01,,Two year,Yes,Mailed check,19.6,1170.55,Fiber optic,No,No,No,No,No,No,Male,0,No,Yes,No,0
139,0390-DCFDQ,2019-10-01,2019-11-01,Month-to-month,Yes,Mailed check,70.45,70.45,Fiber optic,No,No,No,No,No,No,Female,1,Yes,No,No,1
140,3146-MSEGF,2014-02-01,,Two year,Yes,Credit card (automatic),88.05,6425.65,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Female,1,Yes,Yes,Yes,0
141,4080-OGPJL,2019-02-01,2019-10-01,Month-to-month,No,Electronic check,71.15,563.65,DSL,Yes,No,No,Yes,No,Yes,Female,0,No,No,Yes,1
142,1095-WGNGG,2015-01-01,,Two year,Yes,Bank transfer (automatic),101.05,5971.25,Fiber optic,No,Yes,No,No,Yes,Yes,Female,0,Yes,No,Yes,0
143,2636-SJDOU,2014-10-01,,One year,Yes,Credit card (automatic),84.3,5289.05,Fiber optic,Yes,Yes,No,No,No,No,Male,0,No,No,Yes,0
144,1131-QQZEB,2014-03-01,,Two year,No,Bank transfer (automatic),23.95,1756.2,Fiber optic,No,No,No,No,No,No,Male,1,Yes,No,Yes,0
145,5716-EZXZN,2014-09-01,,Two year,Yes,Credit card (automatic),99.05,6416.7,Fiber optic,Yes,Yes,No,Yes,Yes,No,Female,0,Yes,Yes,Yes,0
146,6837-BJYDQ,2019-11-01,,One year,No,Mailed check,19.6,61.35,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,0
147,2135-RXIHG,2019-12-01,2020-01-01,Month-to-month,Yes,Electronic check,45.65,45.65,DSL,No,No,No,No,No,No,Male,0,No,No,No,1
148,6440-DKQGE,2017-08-01,,One year,No,Credit card (automatic),64.5,1929.95,DSL,No,Yes,Yes,No,Yes,No,Male,0,No,Yes,No,0
149,3466-BYAVD,2018-11-01,,Month-to-month,Yes,Mailed check,69.5,1071.4,DSL,No,Yes,Yes,Yes,No,Yes,Male,0,Yes,Yes,No,0
150,3780-YVMFA,2019-06-01,,Month-to-month,Yes,Electronic check,68.55,564.35,DSL,No,No,No,Yes,Yes,Yes,Female,0,Yes,Yes,No,0
151,3874-EQOEP,2019-06-01,2020-01-01,Month-to-month,No,Mailed check,95.0,655.5,Fiber optic,No,No,No,No,Yes,Yes,Male,0,No,No,Yes,1
152,1679-JRFBR,2014-04-01,,One year,Yes,Credit card (automatic),108.15,7930.55,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Female,0,Yes,Yes,Yes,0
153,9073-ZZIAY,2014-12-01,,Two year,No,Electronic check,86.1,5215.25,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,Yes,No,0
154,3077-RSNTJ,2019-08-01,,Month-to-month,No,Mailed check,19.7,113.5,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,0
155,6551-GNYDG,2018-12-01,,Month-to-month,Yes,Bank transfer (automatic),80.9,1152.8,Fiber optic,No,No,No,No,No,Yes,Female,0,Yes,Yes,No,0
156,9167-APMXZ,2018-04-01,,Month-to-month,Yes,Bank transfer (automatic),84.15,1821.95,Fiber optic,No,No,No,No,Yes,No,Female,0,No,No,Yes,0
157,2749-CTKAJ,2018-04-01,,One year,No,Mailed check,20.15,419.9,Fiber optic,No,No,No,No,No,No,Male,0,Yes,Yes,No,0
158,6371-NZYEG,2018-10-01,,Two year,No,Mailed check,64.25,1024.0,DSL,Yes,No,Yes,No,Yes,No,Male,0,Yes,Yes,No,0
159,7554-NEWDD,2019-04-01,,Two year,No,Bank transfer (automatic),25.7,251.6,Fiber optic,No,No,No,No,No,No,Male,0,No,No,Yes,0
160,8992-VONJD,2019-01-01,,Month-to-month,Yes,Electronic check,56.0,764.55,DSL,Yes,Yes,No,No,No,No,Female,0,No,Yes,No,0
161,0867-MKZVY,2018-03-01,2019-11-01,Month-to-month,No,Electronic check,82.4,1592.35,Fiber optic,Yes,No,No,No,No,No,Female,0,Yes,No,Yes,1
162,4482-EWFMI,2019-12-01,,Month-to-month,Yes,Electronic check,69.7,135.2,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,0
163,4648-YPBTM,2015-09-01,,Two year,Yes,Bank transfer (automatic),73.9,3958.25,DSL,No,Yes,Yes,Yes,No,Yes,Male,0,No,No,Yes,0
164,2907-ILJBN,2019-03-01,,One year,No,Mailed check,20.6,233.9,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,0
165,6345-FZOQH,2014-05-01,,Two year,No,Mailed check,19.9,1363.45,Fiber optic,No,No,No,No,No,No,Male,0,Yes,No,No,0
